"Supplementary Table 3. Genbank accessions of Klebsiella pneumoniae. The associated Illumina reads were processed by the PathogenSurveillance pipeline for validation used in Figure 4A, B.",,,,,
Sample_ID,NCBI accession,Bioproject,Species,Kingdom,Sequence type
ERR024818,ERR024818,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024819,ERR024819,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024821,ERR024821,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024822,ERR024822,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024823,ERR024823,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024824,ERR024824,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024828,ERR024828,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024831,ERR024831,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024832,ERR024832,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024833,ERR024833,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024835,ERR024835,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024836,ERR024836,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024837,ERR024837,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024838,ERR024838,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024839,ERR024839,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024840,ERR024840,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024843,ERR024843,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024844,ERR024844,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024845,ERR024845,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024847,ERR024847,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024848,ERR024848,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024850,ERR024850,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024851,ERR024851,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024852,ERR024852,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR024854,ERR024854,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025098,ERR025098,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025099,ERR025099,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025100,ERR025100,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025101,ERR025101,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025103,ERR025103,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025104,ERR025104,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025105,ERR025105,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025107,ERR025107,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
ERR025108,ERR025108,PRJEB2111,Klebsiella pneumoniae,Bacteria,Illumina
