Supplementary Table 2. Accessions of the Serratia genus with both long-read Nanopore and short-read Illumina data used for validation of the PathogenSurveillance pipeline from (Williams et al. 2022).,,,,,
Sample,NCBI accession,BioProject,Lineage,Phylogroup,Sequence type
1,SRR3927533,PRJNA60453,4,8,Illumina
2,SRR3927534,PRJNA60457,4,8,Illumina
3,SRR3926812,PRJNA178957,22,11,Illumina
4,SRR3927990,PRJNA61833,7,1,Illumina
5,SRR3925616,PRJNA175925,4,8,Illumina
6,SRR5629779,PRJNA246471,12,2,Nanopore
7,SRR2059988,PRJNA286707,13,2,Illumina
8,SRR1655333,PRJNA267549,12,2,Illumina
9,SRR1655414,PRJNA267549,9,2,Illumina
10,SRR1655439,PRJNA267549,13,2,Illumina
11,SRR1655440,PRJNA267549,13,2,Illumina
12,SRR1655376,PRJNA267549,15,2,Illumina
13,SRR1655391,PRJNA267549,9,2,Illumina
14,SRR1655415,PRJNA267549,9,2,Illumina
15,SRR1655375,PRJNA267549,15,2,Illumina
16,SRR1655390,PRJNA267549,9,2,Illumina
17,SRR1655624,PRJNA267549,2,4,Illumina
18,SRR1655701,PRJNA267549,15,2,Illumina
19,SRR1655706,PRJNA267549,15,2,Illumina
20,SRR1655712,PRJNA267549,15,2,Illumina
21,SRR1655833,PRJNA267549,13,2,Illumina
22,SRR1655844,PRJNA267549,13,2,Illumina
23,SRR1655713,PRJNA267549,15,2,Illumina
24,SRR1655716,PRJNA267549,15,2,Illumina
25,SRR1655733,PRJNA267549,15,2,Illumina
26,SRR1655793,PRJNA267549,13,2,Illumina
27,SRR1655797,PRJNA267549,13,2,Illumina
28,SRR1655818,PRJNA267549,13,2,Illumina
29,SRR1655820,PRJNA267549,13,2,Illumina
30,SRR1655878,PRJNA267549,13,2,Illumina
31,SRR1655960,PRJNA267549,15,2,Illumina
32,SRR1655976,PRJNA267549,15,2,Illumina
33,SRR1656119,PRJNA267549,12,2,Illumina
34,SRR1656133,PRJNA267549,9,2,Illumina
35,SRR1656143,PRJNA267549,9,2,Illumina
36,SRR1656234,PRJNA267549,9,2,Illumina
37,SRR1656346,PRJNA267549,12,2,Illumina
38,ERR486640,PRJEB5065,9,2,Illumina
39,ERR486562,PRJEB5065,9,2,Illumina
40,ERR486664,PRJEB5065,9,2,Illumina
41,ERR486618,PRJEB5065,9,2,Illumina
42,ERR486619,PRJEB5065,9,2,Illumina
43,ERR486680,PRJEB5065,9,2,Illumina
44,ERR486558,PRJEB5065,9,2,Illumina
45,ERR486565,PRJEB5065,9,2,Illumina
46,ERR486521,PRJEB5065,9,2,Illumina
47,ERR486559,PRJEB5065,9,2,Illumina
48,ERR486637,PRJEB5065,9,2,Illumina
49,ERR486676,PRJEB5065,9,2,Illumina
50,ERR486823,PRJEB5065,9,2,Illumina
51,ERR486814,PRJEB5065,9,2,Illumina
52,ERR486490,PRJEB5065,12,2,Illumina
53,ERR486644,PRJEB5065,9,2,Illumina
54,ERR486661,PRJEB5065,9,2,Illumina
55,ERR486645,PRJEB5065,9,2,Illumina
56,ERR486581,PRJEB5065,9,2,Illumina
57,ERR486649,PRJEB5065,9,2,Illumina
58,ERR486604,PRJEB5065,9,2,Illumina
59,ERR486674,PRJEB5065,9,2,Illumina
60,ERR486561,PRJEB5065,9,2,Illumina
61,ERR486620,PRJEB5065,9,2,Illumina
62,ERR486635,PRJEB5065,9,2,Illumina
63,ERR486651,PRJEB5065,9,2,Illumina
64,ERR486631,PRJEB5065,9,2,Illumina
65,ERR486574,PRJEB5065,9,2,Illumina
66,ERR486636,PRJEB5065,9,2,Illumina
67,ERR486549,PRJEB5065,9,2,Illumina
68,ERR486812,PRJEB5065,9,2,Illumina
69,ERR486603,PRJEB5065,9,2,Illumina
70,ERR486681,PRJEB5065,13,2,Illumina
71,ERR486488,PRJEB5065,9,2,Illumina
72,ERR486610,PRJEB5065,9,2,Illumina
73,ERR486525,PRJEB5065,9,2,Illumina
74,ERR486818,PRJEB5065,9,2,Illumina
75,ERR486616,PRJEB5065,9,2,Illumina
76,ERR486533,PRJEB5065,12,2,Illumina
77,ERR486567,PRJEB5065,9,2,Illumina
78,ERR486572,PRJEB5065,12,2,Illumina
79,ERR486594,PRJEB5065,9,2,Illumina
80,ERR486487,PRJEB5065,9,2,Illumina
81,ERR486816,PRJEB5065,9,2,Illumina
82,ERR486548,PRJEB5065,9,2,Illumina
83,ERR486573,PRJEB5065,9,2,Illumina
84,ERR486596,PRJEB5065,9,2,Illumina
85,ERR486593,PRJEB5065,12,2,Illumina
86,ERR486497,PRJEB5065,9,2,Illumina
87,ERR486543,PRJEB5065,9,2,Illumina
88,ERR486480,PRJEB5065,9,2,Illumina
89,ERR486577,PRJEB5065,9,2,Illumina
90,ERR486570,PRJEB5065,9,2,Illumina
91,ERR486810,PRJEB5065,9,2,Illumina
92,ERR486522,PRJEB5065,9,2,Illumina
93,ERR486608,PRJEB5065,9,2,Illumina
94,ERR486496,PRJEB5065,9,2,Illumina
95,ERR486659,PRJEB5065,9,2,Illumina
96,ERR486554,PRJEB5065,9,2,Illumina
97,ERR486617,PRJEB5065,9,2,Illumina
98,ERR486535,PRJEB5065,9,2,Illumina
99,ERR486580,PRJEB5065,9,2,Illumina
100,ERR486807,PRJEB5065,9,2,Illumina
101,ERR486670,PRJEB5065,9,2,Illumina
102,ERR486598,PRJEB5065,12,2,Illumina
103,ERR486683,PRJEB5065,12,2,Illumina
104,ERR486526,PRJEB5065,9,2,Illumina
105,ERR486473,PRJEB5065,9,2,Illumina
106,ERR486825,PRJEB5065,9,2,Illumina
107,ERR486492,PRJEB5065,9,2,Illumina
108,ERR486528,PRJEB5065,9,2,Illumina
109,ERR486820,PRJEB5065,9,2,Illumina
110,ERR486530,PRJEB5065,9,2,Illumina
111,ERR486809,PRJEB5065,9,2,Illumina
112,ERR486677,PRJEB5065,9,2,Illumina
113,ERR486634,PRJEB5065,9,2,Illumina
114,ERR486656,PRJEB5065,9,2,Illumina
115,ERR486485,PRJEB5065,9,2,Illumina
116,ERR486811,PRJEB5065,9,2,Illumina
117,ERR486817,PRJEB5065,9,2,Illumina
118,ERR486587,PRJEB5065,9,2,Illumina
119,ERR486586,PRJEB5065,9,2,Illumina
120,ERR486806,PRJEB5065,9,2,Illumina
121,ERR486653,PRJEB5065,9,2,Illumina
122,ERR486569,PRJEB5065,9,2,Illumina
123,ERR486551,PRJEB5065,9,2,Illumina
124,ERR486477,PRJEB5065,9,2,Illumina
125,ERR486486,PRJEB5065,12,2,Illumina
126,ERR486633,PRJEB5065,9,2,Illumina
127,ERR486529,PRJEB5065,9,2,Illumina
128,ERR486482,PRJEB5065,9,2,Illumina
129,ERR486684,PRJEB5065,9,2,Illumina
130,ERR486663,PRJEB5065,9,2,Illumina
131,ERR486527,PRJEB5065,9,2,Illumina
132,ERR486539,PRJEB5065,9,2,Illumina
133,ERR486605,PRJEB5065,9,2,Illumina
134,ERR486821,PRJEB5065,9,2,Illumina
135,ERR486652,PRJEB5065,9,2,Illumina
136,ERR486494,PRJEB5065,9,2,Illumina
137,ERR486555,PRJEB5065,9,2,Illumina
138,ERR486531,PRJEB5065,9,2,Illumina
139,ERR486489,PRJEB5065,12,2,Illumina
140,ERR486550,PRJEB5065,9,2,Illumina
141,ERR486582,PRJEB5065,9,2,Illumina
142,ERR486678,PRJEB5065,9,2,Illumina
143,ERR486675,PRJEB5065,9,2,Illumina
144,ERR486621,PRJEB5065,9,2,Illumina
145,ERR486520,PRJEB5065,9,2,Illumina
146,ERR486599,PRJEB5065,9,2,Illumina
147,ERR486623,PRJEB5065,9,2,Illumina
148,ERR486628,PRJEB5065,9,2,Illumina
149,ERR486498,PRJEB5065,9,2,Illumina
150,ERR486808,PRJEB5065,12,2,Illumina
151,ERR486524,PRJEB5065,9,2,Illumina
152,ERR486625,PRJEB5065,12,2,Illumina
153,ERR486822,PRJEB5065,12,2,Illumina
154,ERR486602,PRJEB5065,9,2,Illumina
155,ERR486481,PRJEB5065,9,2,Illumina
156,ERR486478,PRJEB5065,9,2,Illumina
157,ERR486606,PRJEB5065,9,2,Illumina
158,ERR486476,PRJEB5065,9,2,Illumina
159,ERR486647,PRJEB5065,9,2,Illumina
160,ERR486479,PRJEB5065,9,2,Illumina
161,ERR486614,PRJEB5065,9,2,Illumina
162,ERR486556,PRJEB5065,9,2,Illumina
163,ERR486626,PRJEB5065,9,2,Illumina
164,ERR486474,PRJEB5065,12,2,Illumina
165,ERR486641,PRJEB5065,9,2,Illumina
166,ERR486583,PRJEB5065,9,2,Illumina
167,ERR486553,PRJEB5065,9,2,Illumina
168,ERR486609,PRJEB5065,9,2,Illumina
169,ERR486627,PRJEB5065,9,2,Illumina
170,ERR486576,PRJEB5065,9,2,Illumina
171,ERR486650,PRJEB5065,13,2,Illumina
172,ERR486824,PRJEB5065,9,2,Illumina
173,ERR486475,PRJEB5065,9,2,Illumina
174,ERR486536,PRJEB5065,9,2,Illumina
175,ERR486826,PRJEB5065,9,2,Illumina
176,ERR486638,PRJEB5065,9,2,Illumina
177,ERR486592,PRJEB5065,9,2,Illumina
178,ERR486564,PRJEB5065,9,2,Illumina
179,ERR486668,PRJEB5065,9,2,Illumina
180,ERR486632,PRJEB5065,9,2,Illumina
181,ERR486541,PRJEB5065,9,2,Illumina
182,ERR486639,PRJEB5065,9,2,Illumina
183,ERR486667,PRJEB5065,9,2,Illumina
184,ERR486546,PRJEB5065,9,2,Illumina
185,ERR486542,PRJEB5065,9,2,Illumina
186,ERR486588,PRJEB5065,9,2,Illumina
187,ERR486560,PRJEB5065,9,2,Illumina
188,ERR486532,PRJEB5065,9,2,Illumina
189,ERR486538,PRJEB5065,9,2,Illumina
190,ERR486662,PRJEB5065,12,2,Illumina
191,ERR486568,PRJEB5065,9,2,Illumina
192,ERR486601,PRJEB5065,9,2,Illumina
193,ERR486566,PRJEB5065,9,2,Illumina
194,ERR486646,PRJEB5065,9,2,Illumina
195,ERR486575,PRJEB5065,9,2,Illumina
196,ERR486648,PRJEB5065,9,2,Illumina
197,ERR486534,PRJEB5065,9,2,Illumina
198,ERR486495,PRJEB5065,15,2,Illumina
199,ERR486643,PRJEB5065,9,2,Illumina
200,ERR486629,PRJEB5065,12,2,Illumina
201,ERR486665,PRJEB5065,9,2,Illumina
202,ERR486672,PRJEB5065,9,2,Illumina
203,ERR486815,PRJEB5065,9,2,Illumina
204,ERR486600,PRJEB5065,9,2,Illumina
205,ERR486499,PRJEB5065,9,2,Illumina
206,ERR486622,PRJEB5065,9,2,Illumina
207,ERR486679,PRJEB5065,9,2,Illumina
208,ERR486537,PRJEB5065,9,2,Illumina
209,ERR486545,PRJEB5065,12,2,Illumina
210,ERR486493,PRJEB5065,9,2,Illumina
211,ERR486612,PRJEB5065,9,2,Illumina
212,ERR486552,PRJEB5065,9,2,Illumina
213,ERR486611,PRJEB5065,9,2,Illumina
214,ERR486589,PRJEB5065,9,2,Illumina
215,ERR486590,PRJEB5065,9,2,Illumina
216,ERR486655,PRJEB5065,9,2,Illumina
217,ERR486563,PRJEB5065,9,2,Illumina
218,ERR486579,PRJEB5065,9,2,Illumina
219,ERR486819,PRJEB5065,9,2,Illumina
220,ERR486557,PRJEB5065,9,2,Illumina
221,ERR486660,PRJEB5065,9,2,Illumina
222,ERR486813,PRJEB5065,12,2,Illumina
223,ERR486613,PRJEB5065,9,2,Illumina
224,ERR486666,PRJEB5065,9,2,Illumina
225,ERR486571,PRJEB5065,9,2,Illumina
226,ERR486654,PRJEB5065,9,2,Illumina
227,ERR486682,PRJEB5065,9,2,Illumina
228,ERR486673,PRJEB5065,9,2,Illumina
229,ERR486578,PRJEB5065,9,2,Illumina
230,ERR486584,PRJEB5065,9,2,Illumina
231,ERR486484,PRJEB5065,9,2,Illumina
232,ERR486483,PRJEB5065,9,2,Illumina
233,ERR486597,PRJEB5065,9,2,Illumina
234,ERR486658,PRJEB5065,9,2,Illumina
235,ERR486547,PRJEB5065,9,2,Illumina
236,ERR486595,PRJEB5065,9,2,Illumina
237,ERR486591,PRJEB5065,9,2,Illumina
238,ERR486671,PRJEB5065,9,2,Illumina
239,ERR486540,PRJEB5065,9,2,Illumina
240,ERR486642,PRJEB5065,9,2,Illumina
241,ERR486669,PRJEB5065,9,2,Illumina
242,SRR3439014,PRJNA319063,1,3,Illumina
243,SRR4289877,PRJNA338688,1,3,Illumina
244,SRR1707029,PRJNA270035,12,2,Illumina
245,SRR5330012,PRJNA348753,15,2,Illumina
246,SRR5902281,PRJNA396838,9,2,Illumina
247,SRR5902258,PRJNA396838,9,2,Illumina
248,SRR5902283,PRJNA396838,14,2,Illumina
249,SRR5902279,PRJNA396838,9,2,Illumina
250,SRR5902263,PRJNA396838,9,2,Illumina
251,SRR6676029,PRJNA430813,12,2,Illumina
252,SRR6676031,PRJNA430813,12,2,Illumina
253,SRR6675995,PRJNA430813,12,2,Illumina
254,SRR7160685,PRJNA411762,12,2,Illumina
255,SRR6487756,PRJNA417962,2,4,Illumina
256,SRR6488026,PRJNA417962,5,7,Illumina
257,SRR6482683,PRJNA417962,6,9,Illumina
258,SRR6482683,PRJNA417962,6,9,Illumina
259,SRR5415137,PRJNA381635,15,2,Illumina
260,SRR5415011,PRJNA381609,14,2,Illumina
261,ERR1711267,PRJEB16676,12,2,Illumina
262,ERR9821170,PRJEB51113,9,2,Illumina
263,ERR9821139,PRJEB51113,14,2,Illumina
264,ERR9821145,PRJEB51113,9,2,Illumina
265,ERR9821130,PRJEB51113,15,2,Illumina
266,ERR9821158,PRJEB51113,15,2,Illumina
267,ERR9821156,PRJEB51113,13,2,Illumina
268,ERR9821162,PRJEB51113,15,2,Illumina
269,ERR9821140,PRJEB51113,13,2,Illumina
270,ERR9821141,PRJEB51113,15,2,Illumina
271,ERR9821159,PRJEB51113,9,2,Illumina
272,ERR9821169,PRJEB51113,9,2,Illumina
273,ERR9821161,PRJEB51113,9,2,Illumina
274,ERR9821136,PRJEB51113,12,2,Illumina
275,ERR9821142,PRJEB51113,12,2,Illumina
276,ERR9821153,PRJEB51113,12,2,Illumina
277,ERR9821135,PRJEB51113,12,2,Illumina
278,ERR9821138,PRJEB51113,12,2,Illumina
279,ERR9821157,PRJEB51113,12,2,Illumina
280,ERR9821151,PRJEB51113,9,2,Illumina
281,ERR9821155,PRJEB51113,12,2,Illumina
282,ERR9821131,PRJEB51113,12,2,Illumina
283,ERR9821143,PRJEB51113,12,2,Illumina
284,ERR9821165,PRJEB51113,9,2,Illumina
285,ERR9821164,PRJEB51113,12,2,Illumina
286,ERR9821147,PRJEB51113,13,2,Illumina
287,ERR9821166,PRJEB51113,12,2,Illumina
288,ERR9821168,PRJEB51113,9,2,Illumina
289,ERR9821146,PRJEB51113,12,2,Illumina
290,ERR9821149,PRJEB51113,9,2,Illumina
291,ERR9821148,PRJEB51113,14,2,Illumina
292,ERR9821167,PRJEB51113,12,2,Illumina
293,ERR9821163,PRJEB51113,12,2,Illumina
294,ERR9821133,PRJEB51113,2,4,Illumina
295,ERR9821144,PRJEB51113,2,4,Illumina
296,ERR9821152,PRJEB51113,13,2,Illumina
297,ERR9821132,PRJEB51113,12,2,Illumina
298,ERR9821134,PRJEB51113,13,2,Illumina
299,ERR9821160,PRJEB51113,13,2,Illumina
300,ERR9821154,PRJEB51113,13,2,Illumina
301,ERR9821150,PRJEB51113,12,2,Illumina
302,ERR9821137,PRJEB51113,13,2,Illumina
